library,term,overlap,p_value,adj_p_value,significant,odds_ratio,combined_score,genes
KEGG_2021_Human,Viral protein interaction with cytokine and cytokine receptor,3,0.013821757832463795,0.47825472381505957,False,6.314061005420342,27.03372337884673,CCL8;ACKR4;CX3CL1
KEGG_2021_Human,Protein digestion and absorption,3,0.014955905497468459,0.47825472381505957,False,6.123711340206185,25.73580958877293,COL11A1;COL10A1;COL4A5
KEGG_2021_Human,AMPK signaling pathway,3,0.022355620001407114,0.47825472381505957,False,5.229447528416601,19.87544374344105,PFKFB3;LEPR;IGF1
KEGG_2021_Human,PI3K-Akt signaling pathway,5,0.03251337286014516,0.47825472381505957,False,2.9484240687679084,10.10160691090638,LAMB3;ERBB4;KIT;COL4A5;IGF1
KEGG_2021_Human,Ubiquitin mediated proteolysis,3,0.03319096597217635,0.47825472381505957,False,4.4615095191511775,15.19357050372498,UBE2S;UBE2QL1;KLHL13
KEGG_2021_Human,Glycerolipid metabolism,2,0.03742130042373311,0.47825472381505957,False,6.863023175371843,22.54856700617945,GPAM;LPL
KEGG_2021_Human,Pathways in cancer,6,0.0503035852229371,0.47825472381505957,False,2.3556231003039514,7.0425567443902235,AR;GSTM3;LAMB3;KIT;COL4A5;IGF1
KEGG_2021_Human,PPAR signaling pathway,2,0.05298809449300122,0.47825472381505957,False,5.620181405895692,16.510339602462818,FABP4;LPL
KEGG_2021_Human,Taurine and hypotaurine metabolism,1,0.05365825675086383,0.47825472381505957,False,20.09090909090909,58.768318421882675,CDO1
KEGG_2021_Human,Cytokine-cytokine receptor interaction,4,0.06068711968434391,0.47825472381505957,False,2.8077033218785794,7.867251530505986,CCL8;LEPR;ACKR4;CX3CL1
KEGG_2021_Human,ECM-receptor interaction,2,0.07183435427290809,0.47825472381505957,False,4.701945894636925,12.382068798517093,LAMB3;COL4A5
KEGG_2021_Human,Small cell lung cancer,2,0.07756530306155492,0.47825472381505957,False,4.492063492063492,11.484567093173027,LAMB3;COL4A5
KEGG_2021_Human,Salivary secretion,2,0.07902008216924429,0.47825472381505957,False,4.442475891455484,11.27524039277228,CST1;MUC5B
KEGG_2021_Human,Focal adhesion,3,0.07982587600900273,0.47825472381505957,False,3.077475788815995,7.779574331724068,LAMB3;COL4A5;IGF1
KEGG_2021_Human,IL-17 signaling pathway,2,0.08048343457235077,0.47825472381505957,False,4.39396628216504,11.071493966406615,LCN2;MUC5B
KEGG_2021_Human,Nitrogen metabolism,1,0.08171463267155567,0.47825472381505957,False,12.553030303030303,31.43934295429433,CA4
KEGG_2021_Human,Phenylalanine metabolism,1,0.08171463267155567,0.47825472381505957,False,12.553030303030303,31.43934295429433,AOC3
KEGG_2021_Human,Proteoglycans in cancer,3,0.08354137607608705,0.47825472381505957,False,3.015923241808717,7.486767810376172,ERBB4;IGF1;DCN
KEGG_2021_Human,Prostate cancer,2,0.08492373600454328,0.47825472381505957,False,4.254564983888292,10.49176426482804,AR;IGF1
KEGG_2021_Human,Amoebiasis,2,0.09248468910980343,0.4947930867374483,False,4.040816326530612,9.620020610565179,LAMB3;COL4A5
KEGG_2021_Human,HIF-1 signaling pathway,2,0.1033831480896997,0.5047598134867372,False,3.7751287430860194,8.566949896272241,PFKFB3;IGF1
KEGG_2021_Human,Mismatch repair,1,0.10894729783603285,0.5047598134867372,False,9.1267217630854,20.232947516534363,EXO1
KEGG_2021_Human,Proximal tubule bicarbonate reclamation,1,0.10894729783603285,0.5047598134867372,False,9.1267217630854,20.232947516534363,CA4
KEGG_2021_Human,Vitamin digestion and absorption,1,0.11340768358102403,0.5047598134867372,False,8.729468599033817,19.002011610155247,SLC19A2
KEGG_2021_Human,Chemical carcinogenesis,3,0.11793453586138719,0.5047598134867372,False,2.576970120566137,5.508597272583688,AR;MIR29B2;GSTM3
KEGG_2021_Human,Oocyte meiosis,2,0.13623023037232268,0.5317428112345935,False,3.177406395629118,6.333870360024791,AR;IGF1
KEGG_2021_Human,beta-Alanine metabolism,1,0.13970956391884184,0.5317428112345935,False,6.921281783350749,13.622394510819323,AOC3
KEGG_2021_Human,Fructose and mannose metabolism,1,0.15256931999718407,0.5317428112345935,False,6.271464646464646,11.79120788980768,PFKFB3
KEGG_2021_Human,Tyrosine metabolism,1,0.16523874056701404,0.5317428112345935,False,5.733044733044733,10.321566994169176,AOC3
KEGG_2021_Human,Mucin type O-glycan biosynthesis,1,0.16523874056701404,0.5317428112345935,False,5.733044733044733,10.321566994169176,GALNT7
KEGG_2021_Human,Breast cancer,2,0.1674678305136682,0.5317428112345935,False,2.780436312456017,4.968539602428729,KIT;IGF1
KEGG_2021_Human,Cell adhesion molecules,2,0.16923910885893756,0.5317428112345935,False,2.761252446183953,4.905206802489739,CLDN3;CDH3
KEGG_2021_Human,Aldosterone-regulated sodium reabsorption,1,0.16942006718012562,0.5317428112345935,False,5.57351290684624,9.895070145641316,IGF1
KEGG_2021_Human,"Glycine, serine and threonine metabolism",1,0.18184003844564067,0.5317428112345935,False,5.144004144004144,8.768612919919887,AOC3
KEGG_2021_Human,MAPK signaling pathway,3,0.18233463421580023,0.5317428112345935,False,2.08406844510575,3.5469003257231084,ERBB4;KIT;IGF1
KEGG_2021_Human,Fatty acid degradation,1,0.19407611900781976,0.5317428112345935,False,4.775853775853776,7.830035336967146,ACADSB
KEGG_2021_Human,ABC transporters,1,0.20213267727917436,0.5317428112345935,False,4.558310376492194,7.287967841732019,ABCA8
KEGG_2021_Human,Tight junction,2,0.20707400097368484,0.5317428112345935,False,2.4114627887082976,3.7972799500547754,CLDN3;CGNL1
KEGG_2021_Human,Other types of O-glycan biosynthesis,1,0.2101094941683413,0.5317428112345935,False,4.359683794466403,6.801658146757973,GALNT7
KEGG_2021_Human,"Valine, leucine and isoleucine degradation",1,0.2140682440880332,0.5317428112345935,False,4.266709649688373,6.576964036635908,ACADSB
KEGG_2021_Human,Sphingolipid metabolism,1,0.21800735103248006,0.5317428112345935,False,4.177609427609427,6.363445371866637,UGCG
KEGG_2021_Human,Cholesterol metabolism,1,0.22192691156038513,0.5317428112345935,False,4.092145949288806,6.1603458876211565,LPL
KEGG_2021_Human,Cysteine and methionine metabolism,1,0.22192691156038513,0.5317428112345935,False,4.092145949288806,6.1603458876211565,CDO1
