gene,mean_shap_rank,mean_attn_rank,combined_rank_score,n_folds,mean_shap_importance,mean_attention
ZNF521,409.00,147.00,556.00,3,2.8466e-05,0.000284715
PFKFB3,466.00,157.00,623.00,3,3.41342e-05,0.000220924
COL4A5,554.00,99.00,653.00,3,3.04241e-05,0.000267163
LPL,311.00,406.67,717.67,3,3.42439e-05,0.000703496
AFAP1-AS1,59.00,813.67,872.67,3,0.000733494,0.000135872
CDO1,233.33,846.33,1079.67,3,3.12535e-05,0.000146436
DPT,699.67,415.67,1115.33,3,1.99547e-05,0.000200456
LCN2,922.67,216.67,1139.33,3,0.00858278,0.000626685
COL11A1,369.00,808.67,1177.67,3,1.93933e-05,0.000317793
ABCA8,486.00,785.00,1271.00,3,8.3739e-05,0.00829992
ACADSB,973.67,300.67,1274.33,3,1.19645e-05,0.000257314
CLTC,677.33,618.00,1295.33,3,2.40658e-05,0.000140285
C2CD4A,670.67,627.33,1298.00,3,0.000141999,0.00954503
EBF1,713.00,593.33,1306.33,3,0.000165867,0.000148176
FLJ13744,464.33,845.00,1309.33,3,0.000133352,0.00127084
LEPR,277.00,1052.00,1329.00,3,4.2198e-05,0.000198443
AR,982.67,408.33,1391.00,3,1.78296e-05,0.000188932
EGR3,867.00,530.33,1397.33,3,2.53535e-05,0.000147929
CA4,1031.00,436.33,1467.33,3,2.44506e-05,0.000155209
DCN,909.67,567.33,1477.00,3,3.44329e-05,0.000137763
SRGAP2C,1222.00,258.33,1480.33,3,2.30136e-05,0.000228836
LOC285628,484.33,1008.67,1493.00,3,0.00010746,0.000129736
MAP2,830.00,667.67,1497.67,3,3.40071e-05,0.000824853
CCL8,1171.67,338.67,1510.33,3,1.76389e-05,0.000176493
UBE2QL1,1134.67,411.67,1546.33,3,2.42337e-05,0.000195939
MYBL2,522.33,1048.33,1570.67,3,0.000165026,0.00380918
LOC101929886,607.33,976.67,1584.00,3,2.67471e-05,0.000407477
GPM6B,1006.67,604.67,1611.33,3,2.61238e-05,0.000229992
SEMA3G,363.67,1249.33,1613.00,3,2.69213e-05,0.000128787
SOX7,677.67,946.33,1624.00,3,3.55076e-05,0.000146204
AC092620.2,841.00,783.33,1624.33,3,3.75891e-05,0.000193687
EFEMP1,823.00,827.67,1650.67,3,3.19121e-05,0.000272585
AOC3,999.00,662.00,1661.00,3,1.62363e-05,0.000273735
COL10A1,664.67,1025.00,1689.67,3,2.76999e-05,0.000127016
PDK4,560.00,1141.00,1701.00,3,1.57823e-05,0.000123751
GIMAP7,631.33,1095.67,1727.00,3,3.08227e-05,0.000369684
OXTR,209.00,1527.33,1736.33,3,2.79024e-05,0.000119399
CX3CL1,709.67,1038.33,1748.00,3,4.08188e-05,0.000437102
HES6,965.33,792.00,1757.33,3,1.75835e-05,0.00324204
FBLN2,768.00,997.33,1765.33,3,1.80466e-05,0.000131849
FOXA1,1020.00,750.67,1770.67,3,1.58295e-05,0.000143337
ZNF423,744.67,1051.33,1796.00,3,1.69713e-05,0.000185612
CCDC80,1233.00,571.00,1804.00,3,1.17841e-05,0.000180203
CGNL1,614.67,1194.67,1809.33,3,3.00332e-05,0.00560784
