gene,mean_rf_importance
TPX2,0.018206176573559905
ECT2,0.017049136700002444
CLEC3B,0.012540383581381495
PPAT,0.012151001178872467
ZSWIM6,0.01096427963322911
SEMA6D,0.010861763298693978
ATP8B1,0.010827531987287456
PTPN21,0.010797123921899741
UBE2T,0.010624847506528548
SLC26A2,0.010577785644954183
SLC7A5,0.010209421119616766
SCARA5,0.00971379246087826
UBE2C,0.009587390614849697
BOP1,0.009433963626692264
C1orf115,0.009389209797715795
PTGER4,0.009026172248951888
BTNL9,0.008724633204772032
NFE2L3,0.00870120297744372
MMP11,0.008377201124892954
PDE9A,0.008351082549052792
ABCA8,0.008129309820856766
CST1,0.007745381153296799
RNASEH2A,0.007385510110559152
NCAPG,0.00730251954757458
C1orf21,0.007127975274677971
SLC30A4,0.0070346935030023705
HILPDA,0.006967484761850782
RAD54B,0.0067558802223565365
CDK1,0.006729620352107517
FIGF,0.006586790470762725
RUNDC3B,0.006406747736102981
WISP1,0.006262207424355716
CA4,0.0062200603046558
ACACB,0.006074044453444739
PGM5,0.006026397233115071
ENC1,0.005988690887110224
GOLPH3L,0.005765799284445102
CFD,0.0057019966345865985
UGP2,0.00562416586093338
COL10A1,0.005612394341655343
FAM189A2,0.005601229061176545
ANLN,0.005543014265250151
CCNE1,0.005486823529511543
MELK,0.0054428308840831574
GPR56,0.005354213997149438
SULF1,0.005341776287572843
PPP2R3A,0.005249140059156899
RFC3,0.005226799616315789
PLAU,0.005154661015212861
SBK1,0.0051142287865248845
RP11-355B11.2,0.0050695288450129895
MAMDC2,0.005046477242087262
MCM10,0.00500940305598395
SOX9,0.00496516007987556
PARK7,0.00492288120449923
SELENBP1,0.004872486712057267
ANXA8,0.0048664685663827095
CTPS1,0.0048563493446819855
ATAD2,0.004778296747479173
TRIM59,0.004696824426853045
KIF20A,0.004684389103326073
TNXA,0.004678728006068193
NUF2,0.00467239930776717
SRPX,0.004622216826040739
CDC20,0.004597654163119845
CTHRC1,0.004556781009597389
SDC1,0.00453860961336113
GINS1,0.004513063050428581
PRKACB,0.0044994154900309625
TOP2A,0.00449745892492791
ASCL2,0.004476411378121746
TMEM100,0.004438825411734823
ITM2A,0.00439450931883431
MUT,0.004369171781918801
TCEA3,0.004336239154257546
LOC100996643,0.004201815606609982
PGM5-AS1,0.004175003984765268
MTM1,0.004174886044579425
CYCS,0.004118730746518659
CCL14,0.00406842959566328
TGFBR3,0.004052293553965142
FAM134B,0.004011917032512865
TMCC3,0.004007352479851925
CPNE8,0.003995976912013776
CEMIP,0.00398218862508702
LPL,0.003960301477722015
EIF4E3,0.003959145631951974
COL11A1,0.003940471251882898
GCNT2,0.003890529486025762
PHF19,0.003887928217417352
ACVR1C,0.00387720196127455
ADTRP,0.0038700468149001775
HIST1H2BD,0.0038580271563466067
PTTG1,0.0038333409013064455
LOC100506558,0.003812884720177684
BMP5,0.0037935725626179768
SCNN1B,0.0037662434514191176
SH3GL3,0.0037057307606193106
CPM,0.003673302674750195
KLF4,0.003666086916434302
